unique ID,query_text,category
983,Skills in Mathematics Play with Graphs for JEE Main & Advanced,general
984,A block starts moving up an inclined plane of inclination 30 ∘ with an initial velocity of v 0 . It comes back to its initial position with velocity v 0 2 . The value of the coefficient of kinetic friction between the block and the inclined plane is close to 1 1000 . The nearest integer to / is [JEE (Main) - 2020],academic_servable
985,Police during British Rule in India,academic_servable
986,kisi bhi element ka last orbit konsa hota hai?,academic_servable
987,Eyeshield 21: Field Saikyou no Senshi Tachi,junk
988,"The median of the day 30,25,27,25,8,29,35,38,28,is",academic_servable
989,"Text me when you get off, don't call, my phones having problems",junk
990,Batman: Rise Of Sin Tzu,junk
991,Magnetic Monopole,academic_servable
992,Your Shape featuring Jenny McCarthy,junk
993,Operation 'Or' in Truth Table,academic_servable
994,Relation With Grandmother,academic_servable
995,Electromagnetic Induction Test - 2,general
996,Class 10physics,conversational
997,GAs,academic_servable
998,I'm trying to understand nicl ao prelims,general
999,"I'm searching for some answers about weewee,",junk
1000,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,junk
1001,For ssc exams lucent book is enough for gk in ssc exams,general
1002," We know that x + 2>0 At x= - 3, x + 2<0. ∴|2 + x|=|x + 2|= - (x + 2)= - x - 2 f'x=ddx - 3x - 6=ddx - 3x - ddx6 ∴f'x= - 3ddxx - ddx6= - 3 Hence, the derivative of given function at x= - 3 is - 3 ",academic_non_servable
1003,UP Police SI Mock Test - 1,general
1004,Send immediately I want,conversational
1005,History Test - 2,general
1006,Could you share some of your knowledge on nimcet,general
1007,Polythene bag do not create a big problem in waste disposal. a. True b. False,academic_servable
1008,TEE,general
1009,I have mathematical questions,conversational
1010,Intersection between Circle and Line,academic_servable
1011,I'm trying to get a better grasp of venus mound,junk
1012,Mechanism of Acid Catalysed Hydration of Alkenes,academic_servable
1013,ntse admit card 2021: issuing authority,general
1014,"यदि ( x 3 + 1 , y − 2 3 ) = ( 5 3 , 1 3 ) , तो x तथा y ज्ञात कीजिए।",academic_servable
1015,Socio-Economic Development Schemes in Bihar,academic_servable
1016,Trauma Center: Under the Knife 2,junk
1017,What is meant by mammals,academic_servable
1018,What Is Rajbhasha Adhikari,general
1019,Embibe Big Book for Numerical and Mental Ability for Rajasthan Patwari,general
1020,Closing Sentence in Parajumble Sentences,academic_servable
1021," We need to write down the deviation of the given number on base 10. We know that, In Vedic mathematics, any power of 10 is considered as base. The difference between the number and the above base is termed as deviation. Deviation may be positive or negative. If the number is lesser than base, then deviation is negative. For 6 on base 10, Deviation is =6 - 10= - 4 Hence, the required answer is - 4. ",academic_non_servable
1022,"Can you fill me in on the details of slutkiss,",junk
1023,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da",conversational
1024,Naruto: Ultimate Ninja Heroes,junk
1025,Molecular Properties Of Matter Test - 2,general
1026,Chhatrapati Shivaji Maharaj,academic_servable
1027,Enemy Territory: Quake Wars,junk
1028,🥴,junk
1029,indian navy agniveer (mr),general
1030," Given sinA + B= 1 ⇒sinA + B= sin 90° A + B= 90°..........(i) cosA - B= 1 ⇒cosA - B= cos 0° A - B= 0°..........(ii) From equation (ii) A= 0° + B A Value substitute in equation (i) 0° + B + B= 90° 2B= 90°⇒B= 45° B Value substitute in (i) A + 45°= 90°⇒A= 45° A,B= 45°,45° ",academic_non_servable
1031,Mad Max (2015),junk
1032,dr panjabrao deshmukh vastigruh nirvah bhatta yojna maharashtra,general
1033,Brian Murray,general
1034,solve  37/10 x 26.57 = ___,academic_servable
1035,"স্ाবানসহ গাণিতিক উদাহন ণ ত্বরনের জন্য অংশাজ্কিত একটি স্প্রিং তুলা থেরে ঝোলানো আছে। স্প্রিং তুলাটি কত পাঠ দেবে, যখন তুলাটি (i) 5 m / s 2 ত্বরনে ওপরে ওरে, এবং (ii) একই ত্বরতে নীচে নামে? [i] ভরসহ স্প্রিং তুলাটি যখন 5 m / s 2 ত্বরণসহ ওপরে ওঠে তখন ভরটির ওপর ক্রিয়াশীল বল, \[ n=m(g + a)=1(10 + 5)=15 \mathrm{~N} \] অতএব এক্ষেত্রে স্প্রিং তুলাটির পাঠ = 15 N 10 m / s 2 = 1.5 k g [ii] ভরসহ স্প্র্রং তুলাটি যখন 5 m / s 2 ত্বরণসহ নীচে নামে তখন ভরটির ওপর ক্রিয়াশীল বল, \[ n=m(g - a)=1(10 - 5)=5 \mathrm{~N} \] অতএব এট্कেত্রে স্প্রি তুলাটির পাঠ = 5 N 10 m / s 2 = 0.5 k g ",academic_non_servable
1036," We need to subtract the given numbers. We subtract the numbers according to the place value. Subtract the ones: 8 - 6=2 Subtract the tens: 9 - 7=2 Subtract the hundreds: 6 - 4=2 HTO698 - 476222 Hence, the required answer is 222. ",academic_non_servable
1037," Given: 73, 7 We will add the numbers according to the place values. Add ones place digits: 3 + 7=10 (1 tens + 0ones) Add tens place digits: 1 + 7 + 0=8 (1 carry) TO173 + 7 8 0 Hence, the required answer is 80. ",academic_non_servable
1038,Mother's Father,academic_servable
1039," We need to add the given numbers 25, 50. We add according to the place value. Adding the ones, 5 ones + 0 one=5 ones Adding the tens, 2 tens + 5 tens=7 tens We can write this as Tens Ones 2 5 + 5 0 7 5 Hence, the required answer is 75. ",academic_non_servable
1040,Need for Latitudes and Longitudes,academic_servable
1041," Given, To count the number of crayons in tens. By observing the picture given there are 7 set of ten crayons. Hence, there are 7 tens of crayons. ",academic_non_servable
1042,what is indian airforce agniveer vayu,general
1043,Plants and Water,academic_servable
1044,"SHIZ,",junk
1045,allens,general
1046," Given, 3t - 23 + 2t + 32=t + 76 ⇒2(3t - 2) + 3(2t + 3)6=6t + 76 ⇒6t - 4 + 6t + 96=6t + 76 ⇒12t + 56=6t + 76 ⇒6×12t + 56=6×6t + 76 ⇒12t + 5=6t + 7 ⇒12t - 6t=7 - 5 ⇒6t=2 ⇒t=13. ",academic_non_servable
1047,Th Karnataka State Board,general
1048,Not sure I have the stomach for it ...,junk
1049,Crash: Mind Over Mutant,junk
1050,what is Some Important Initial Steps of NCERT,academic_servable
1051,Connect me to the expert,junk
1052,"JIZZ,",junk
1053,Which one of the following compounds maximum π electron density on aromatic ring,academic_servable
1054,1 revolution,conversational
1055," Yeast is a unicellular fungus and it reproduces by budding. In budding, a small outgrowth appears on the body of the organism. This outgrowth is called a bud. It grows and finally detaches from the parent body and begins to live as independent organisms. ",academic_non_servable
1056,What do you know about Schematics of Thermal Power Plant,academic_servable
1057,Comparing Angles Using Tracing Paper and Ruler,academic_servable
1058,Importance of Protecting Habitat,academic_servable
1059,Urine,academic_servable
1060,Parabola Test - 3,general
1061,Water Scarcity,academic_servable
1062,Spice Less Spices,academic_servable
1063,I'm trying to wrap my head around ssc cpo paper-i,general
1064,B tet syllbus,conversational
1065,2. A car starts from rest \& again comes to rest after travelling 200 m in straight line. If its acceleration i deacceleration are limited to 10 m / s 2 & 20 m / s 2 respectively then minimum time the car will take to travel distance is - (A) 20 s (B) 10 s (C) 2 15 s (D) 20 3 s ,academic_servable
1066," We need to find the sum of 217,483. By adding two numbers, 217483700 Hence, 217 + 483=700. ",academic_non_servable
1067,class 2 arunachal pradesh board,general
1068,how to make pizza,junk
1069,Addition of Like Fractions,academic_servable
1070,"Four identical thin rods each of mass M and length l , form a square frame. Moment of inertia of this frame about an axis through the centre of the square and perpendicular to its plane is: [AIPMT (Prelims) - 2009]",academic_servable
1071,Ai doubt,conversational
1072,What is square root of 256,academic_servable
1073,One of the best song of all the time﻿,conversational
1074,(d) The length of a rectangle is twice its width. The perimeter of the rectangle is 96 metres. Assume the width of the rectangle as y metres. 131,academic_servable
1075, A beam of light consists of rays coming closer to each other and meeting at a point called a convergent beam of light. The convex lens uses this principle to work. It is known as converging action. ,academic_non_servable
1076," It is given to write the number that comes after 26. To identify the number just after 26, count forward from 25 to 30. 25, 26, 27, 28, 29, 30 So, the number 27 is just after the number 26. Therefore, the number that comes after 26 is 27. ",academic_non_servable
1077,Reflection by Spherical Mirrors,academic_servable
1078,2. Number of families in a village in correspondence with the number of children are g i v B below: \begin{tabular}{|c|c|c|c|c|c|c|} \hline No of children & 0 & 1 & 2 & 3 & 4 & 5 \\ \hline No of families & 11 & 25 & 32 & 10 & 5 & 1 \\ \hline Find the mean number of children per family & & & \\ \hline \end{tabular} mer of children per family.,academic_servable
1079," A leaf is a part of a plant that helps in the synthesis of food through a process called photosynthesis. The arrangement of veins in a leaf is called venation. Venation is of two types, that is reticulate venation and parallel venation. Parallel venation is present in the leaves of maize. In parallel venation, the veins run parallel to each other from base to tip of the leaf. ",academic_non_servable
1080,what is Types of Hormones,academic_servable
1081,Animal Diversity of India,academic_servable
1082,Storing Solid Carbon Dioxide,academic_servable
1083,Effects of Uneven Heating on the Earth,general
1084,Significance of Environment in Human life,academic_servable
1085,Science ka questions,junk
1086,Solve question,conversational
1087,Differential Extraction,academic_servable
1088," Given, Principal amount, p=₹800 Rate, r=5% per annum Time, t=146 days Simple Interest, SI=p×r100×t =800×5100×146365 =8×11×14673 =₹16=₹x⇒x=16 ",academic_non_servable
1089,Explain this how this answer come,conversational
1090,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.,conversational
1091,age of empires: collector's edition,junk
1092, An egg contains albumen/egg white and yolk inside its shell. The nutrient present in the Q part of the boiled egg is protein. That is important for the growth and repair of the body due to which a violet colour is produced when an alkaline copper sulphate solution is added to it. The part that contains proteins is egg white. ,academic_non_servable
1093,civil services,general
1094,It will rain today,conversational
1095,Excellence in Mathematics,general
1096,"Define electrode potential, oxidation potential and reduction potential. Why is it not possible to calculate the absolute value of electrode potential ?",academic_servable
1097,FINGERING,junk
1098,ok done i understand,conversational
1099,I will come tomorrow di,conversational
1100,"50. The arrangement shows two long metallic rails connected to resistance R forming an inclined plane. Magnetic field is vertical in the region. If slider of mass m and length l will move with the terminal velocity (incline is smooth) N m g R sin θ B 2 l 2 cos 2 θ , then value of N is",academic_servable
1101,MIHIR Supercomputer,academic_servable
1102,Yoake Yori Ruriiro na: Brighter than Dawning Blue,junk
1103,Understanding The Fractions Test - 2,general
1104,The Amazing Spider-Man (Console Version),junk
1105,divide: 16/5 ÷ 63/10 = ___,academic_servable
1106,what is Erythromycin,academic_servable
1107,11. Find the diagonals of a rhombus if perimeter is 112 m and area is 238 m 2 .,academic_servable
1108,Robotron X,junk
1109,Q.5 Sinıplify ( 2 − a ) 3 + ( 2 + a ) 3 ,academic_servable
1110,Can you provide some resources for learning more about hslc,general
1111,19/10% of 481 = ___,academic_servable
1112,minna no chizu 2,junk
1113,what score is good in jee main previous year exam,general
1114,Embibe Big Book for Quantitative Aptitude for Nainital Bank PO,general
1115,in the ellipse triangle SBS1 is right angled at B. then the eccentricity of the ellipse,academic_servable
1116,Binary System Laws,academic_servable
1117,Mega Brain Boost,junk
1118,दो अंकों की संख्याओं को शामिल करके जोड़,academic_servable
1119,NHL Slapshot,junk
1120,NCERT EXEMPLAR PROBLEMS-SOLUTIONS SCIENCE Class X,general
1121,mortal kombat vs. dc universe,junk
1122,Mechanism of Action of Growth Hormone,academic_servable
1123,Behaviour of Forced Oscillation When Driving Frequency is Far from Natural Frequency,academic_servable
1124,Sodium Hydroxide Solution for Iron(III) Ion,academic_servable
1125,v) A man riding on a bicycle covers a distance of 60 k m in a direction of wind and comes back to his original position in 8 hours. If the speed of the wind is 10 k m / h r find the speed of the bicycle.,academic_servable
1126,Clean India Mission,academic_servable
1127,"Complete the table of values for the function y = 1 x . \begin{tabular}{|l|r|c|c|c|c|c|c|c|c|c|c|c|c|c|} \hline x & − 8 & \( - 4 \) & \( - 2 \) & \( - 1 \) & \( - \frac{1}{2} \) & \( - \frac{1}{4} \) & \( - \frac{1}{8} \) & \( \frac{1}{8} \) & \( \frac{1}{4} \) & \( \frac{1}{2} \) & 1 & 2 & 4 & 8 \\ \hline y & \( - \frac{1}{8} \) & & & & \( - 2 \) & & & & & & & & & \\ \hline \end{tabular} Use the table in step 1 to help you draw the graph of y = 1 x for values of x from − 8 to 8 . a Explain what happens as x gets closer to 0 . Think about what happens for both positive and negative values of x that approach 0 . b Describe the behavior of y as x gets closer and closer to 0 on the graph. Think about positive and negative values for x . c In a different color, draw a vertical line on your graph that the curve never touches. d Explain why x can never be equal to 0 . Hence, state the domain of the function y = 1 x .",academic_non_servable
1128,"2. For A = [ 1 − 2 1 3 0 5 4 − 1 2 ] , verify that \[ \mathrm{A}(\operatorname{adj} \mathrm{A})=(\operatorname{adj} \cdot \mathrm{A}) \mathrm{A}=|\mathrm{A}| \mathrm{I}_{3} . \]",academic_servable
1129," We know that, area of parallelogram = Base × Height. Given, height of a parallelogram=3.5 cm Base of a parallelogram =2.5 cm Area of parallelogram=2.5×3.5=8.75 cm2 ⇒k cm2=8.75 cm2 Hence, k=8.75. ",academic_non_servable
1130,"What Is Gays,",junk
1131,nhl 12,junk
1132,Savage Skies,junk
1133,Addition Polymerisation,academic_servable
1134,"Hi Sir,",conversational
1135,Hanayori Danshi: Koi Seyo Onago,junk
1136,Army Men 3D,junk
1137,SSC CPO Tier - II  Mock Test - 2,general
1138,Heroes Of Hellas 2: Olympia,junk
1139,D.K. Ramesh Kumar,general
1140,SSC CPO Paper I,general
1141,Q6 Match the following: \begin{tabular}{|l|l|} \hline Column A & Column B \\ \hline (p) \( (x + y)^{4} - (x - y)^{4} \) & (i) \( \left(x^{2} + y^{2}\right)(x - y)(x + y) \) \\ \hline\( (q)(x - y)^{2} + (x - y) \) & (ii) \( (x - y)(x + y)\left(x^{2} + y^{2} + 1\right) \) \\ \hline\( (r) x^{4} - y^{4} + x^{2} - y^{2} \) & (iii) \( 8 x y\left(x^{2} + y^{2}\right) \) \\ \hline (s) \( x^{4} - y^{4} \) & (iv) \( (x - y)(x - y + 1) \) \\ \hline \end{tabular},academic_servable
1142,what is dena,general
1143,General Studies for Civil Services Preliminary Examination GS Paper 1,general
1144,Square Number as Sum of Consecutive Odd Numbers from One,academic_servable
1145,"IIlustration 1: Find the equation of the parabola whose focus is ( 1 , 1 ) and the tangent at the vertex is x + y Also find its latus rectum.",academic_servable
1146,SEBA,general
1147,"Kooch,",junk
1148,I'm trying to get a better grasp of Momentum of a System of Particles,academic_servable
1149,How r u,junk
1150,My telephone!﻿,junk
1151,Embibe Big Book for Mathematics for GCET,general
1152,1296428 + 517144846652112190963677,junk
1153,Colour Harmony,academic_servable
1154,Forces And Their Effect Test - 1,general
1155,Can you give me some guidance on population composition and change,general
1156,Demon Attack,junk
1157,[6] x [973.04] = [___],academic_servable
1158,Chromatography in Crime Detection,academic_servable
1159," To factorise the given expression, we use the method of common factors. 3xa - b - 6ya - b=3xa - b - 2ya - b =3a - bx - 2y ",academic_non_servable
1160,Must come later.. I normally bathe him in da afternoon mah..,conversational
1161,Hindi jante ho to mera pass bhejo please,conversational
1162,find 341.79 / 37/5 = ___,academic_servable
1163,Need advice on Praja Mandal Movement,academic_servable
1164, Weight,academic_servable
1165,2 mole of hydrogen and 8 mole of Methane are present in a closed container at 2 ATM calculate partial pressure of hydrogen and methane,academic_servable
1166,X-COM: UFO Defense,junk
1167,Whiplash,junk
1168,I'm interested in finding out more about accounting and financial management,general
1169,Love u bot I m 10 years old obsessed with you..,junk
1170,Tum kon ho,conversational
1171,"q, ?, j, m, p",academic_servable
1172,Prince of Persia: Revelations,junk
1173,"Do you have any experience with stoned,",junk
1174," Given: 9x2 - 4(y + 2x)2 =(3x)2 - [2(y + 2x)]2 This is of the form a2 - b2=(a - b)(a + b) Here a=3x, b=2y + 2x =3x - 2(y + 2x3x + 2(y + 2x) =(3x - 2y - 4x)(3x + 2y + 4x) =( - x - 2y)(7x + 2y) = - (x + 2y)(7x + 2y) ∴ 9x2 - 4(y + 2x)2= - (x + 2 y)(7x + 2y) ",academic_non_servable
1175,Instantaneous Power in Pure Inductive AC Circuit,academic_servable
1176,Dynasty Warriors 4 Empires,junk
1177,Tetracycline,academic_servable
1178,1st Mizoram Board,general
1179," Given a → =5i^ - 4j^ + k^, b → =4i^ + 3j^ + λk^ and c → =i^ - 2j^ + 7k^. The volume of parallelopiped whose coterminus edges are represented by vectors a → , b → , c → is a → ×b → ·c → . ⇒a → ×b → ·c → =a → b → c → ⇒5 - 4143λ1 - 27=521 - - 2λ + 428 - λ + 1 - 8 - 3 =105 + 10λ + 112 - 4λ - 11=6λ + 206=216 ⇒6λ=10⇒λ=53 & ⇒ - 6λ=422⇒λ= - 2113 Hence the value of λ=53, - 2113 ",academic_non_servable
1180,Corpus Luteum Formation,academic_servable
1181," Absolute value is the value of the integer irrespective of ( + ) or ( - ). It is always positive. Hence, the value of 8 is 8. ",academic_non_servable
1182,Lufia: The Ruins of Lore,junk
1183,I'm trying to get a handle on west bengal board,general
1184,I wantexactanswerof,conversational
1185,Sir solve this question no 2,conversational
1186,she&#39;s so pretty,conversational
1187,Safety Test - 1,general
1188,Stoke's Law and Terminal Velocity,academic_servable
1189,Stop,conversational
1190,Assembly Language Programming,academic_servable
1191," Given, area of the square field = 1764 m2 Cost of Building wall =Rs 240/m The wall is built on the sides, so we have to find the sides. For finding the sides, we have, Area of the square field =side×side ⇒1764=Side2 ⇒Side=1764 ⇒Side=22×32×72 ⇒Side= 42 m Perimeter of the square field =4×Side =4×42 =168 m Cost of building the wall =₹240×168 =₹40,320 Thus, k=40,320 ",academic_non_servable
1192," Given, Arrange the given values in descending order. The values is 38,514,34,57 First take the LCM of all denominators 8, 14, 4, 7. The LCM is 2×2×2×7 =56 Now we have to make all the denominators same by multiplying the same number to numerator and denominator. =3×78×7=2156=5×414×4=2056=3×144×14=4256=5×87×8=4056 Now, compare the numerators and find greatest to lowest is 4256, 4056, 2156, 2056 Therefore, the descending order is 34, 57, 38, 514. ",academic_non_servable
1193," Given number is 2.125. Expanding the above number in terms of its place value we get: ⇒2.125=2×1 + 1×110 + 2×1100 + 5×11000 =2 + 110 + 2100 + 51000 =2 + 100 + 20 + 51000 =2 + 1251000. Dividing the numerator and denominator of the fraction with H.C.F of two. ∵ H.C.F of 125,1000 is 125. ⇒2 + 125÷1251000÷125 =2 + 18 =16 + 18 =178 Hence, the required number is 178. ",academic_non_servable
1194,I'm trying to get a handle on ntse stage i - gujarat,general
1195,Syphon Filter: Dark Mirror,junk
1196, Mango is a summer fruit sour in taste. Vitamin C is the nutrient found in mango. Vitamins keep us healthy. They protect us from various diseases. ,academic_non_servable
1197,12th chemistry,junk
1198, In △ABC ∵∠A + ∠B + ∠C=180° { by angle sum property} ⇒60° + 80° + ∠C=180°⇒140° + ∠C=180°⇒∠C=180° - 140°⇒∠C=40°. ,academic_non_servable
1199,Do you have any expertise in Iron(II) Oxide,academic_servable
1200,MY HOME EMBIBE LIVE CLASSES Assignment from My Parents Get rew: for your Invite your parent Show your paren Earn 500 (e) awesome work! My Favourite Books IDI't Hitrio Add Books (3),junk
1201,espn nba 2night 2002,junk
1202,Q. Which of the following statements is a tautology? A) ( ( ∼ p ) ∨ q ) ⇒ p B p ⇒ ( ( ∼ p ) ∨ q ) C ( ( ( ∼ p ) ∨ q ) ⇒ q D q ⇒ ( ( ∼ p ) ∨ q ) ,academic_servable
1203,Well obviously not because all the people in my cool college life went home ;_;,junk
1204,"Two small spheres, each of mass 0.1 g m and carrying same charge 10 − 9 C are suspended by threads of equal length from the same point. If the distance between the centres of the sphere is 3 c m , then find out the angle made by the thread with the vertical. ( g = 10 m / s 2 ) & tan − 1 ( 1 100 ) = 0.6 0 ",academic_servable
1205, elementary mathematics and general knowledge,general
1206,"What Is Wank,",junk
1207,what is Rainwater Harvesting in Metropolitan Cities,academic_servable
1208," Given figure is, Radius of the circle=12 cm Area of quarter circle=πr24=π1224=π×3×12=113.04 cm2 Area of semicircle=πr22=π622=π×3×6=56.52 cm2 Area of shaded part=113.04 - 56.52=56.52 cm2 ",academic_non_servable
1209,what is Setup for Steam Distillation,academic_servable
1210,"What Is Vagina,",junk
1211,Fast Food Restaurant Chains,academic_servable
1212,You understand Bengali,conversational
1213,Connect me to a Physics expert,conversational
1214,"GUIDO,",junk
1215,Ya answer kerala padma,conversational
1216, There are few birds with short and broad beak. Swallow is a bird that can trap insects while flying. ,academic_non_servable
1217,it is a shit﻿,conversational
1218,Emergence of Small Towns in 8th Century India,academic_servable
1219,Have you heard of 10th maharashtra board,general
1220,Living And Non-living Test - 2,general
1221,PUPPETEER,junk
1222,amritsar,general
1223," Given that: The minute hand of a clock is 15 cm long. Angle described by the minute hand in 60 minutes =360°. ⇒Angle described by minute hand in 20 minutes =360°60×20=120° So, the area swept by it in 20 minutes = Area of the sector having central angle 120° and radius 15 cm. =θ360πr2 =120360×227×15×15 =235.7 cm2 Therefore, the area swept by minute hand in 20 minutes is 235.7 cm2. ",academic_non_servable
1224,State of Rest,academic_servable
1225,Average Power in Pure Inductive AC Circuit,academic_servable
1226,"niglet,",junk
1227,Numbers-(0-9),academic_servable
1228,Inclusive Method,academic_servable
1229, The surgical method of contraception in the male in which the vas deferens is cut and ligated at both the ends blocks the passage of sperms and prevents their entry into the female vagina during copulation. It is known as vasectomy. ,academic_non_servable
1230,what is Maintenance of Standards,academic_servable
1231,Facts about Pluto,academic_servable
1232,"In each question, there is a highlighted part or a pair of words/phrases. From the highlighted words/phrases, select the most appropriate words/phrases to form correct sentences. Then, from the options given, choose the best one.",academic_non_servable
1233," Given, AE is the bisector of exterior ∠CAD. AB=10 cm, AC=6 cm and BC=12 cm Let CE=x cm and BE=BC + CE=12 + x cm Here, since AE is the bisector of exterior ∠CAD, ∴BECE=ABAC ⇒12 + xx=106 ⇒72 + 6x=10x ⇒72=4x ⇒x=724=18 cm Thus, the value of CE=18 cm. ",academic_non_servable
1234,Compounds of Zinc,academic_servable
1235,"Could you help me understand more about pcp,",junk
1236,What Is 12Th Meghalaya Board,general
1237,What is the grave disease,academic_servable
1238,"Need Advice On Heeb,",junk
1239,Iupac name of the compound,academic_non_servable
1240, The postman delivers letters to our house. He is a community helper. Letters are one of the written modes of communication. ,academic_non_servable
1241,Calculating the Departmental Store Price,academic_servable
1242,Can you clarify something for me keypoints for odd semester exams of dibrugarh university 2021,general
1243,Paphiopedilum,academic_servable
1244,What's your opinion on Ecological Crisis,academic_servable
1245,Is this book contains answers for the questions of s chand's for class 8 Social science?,academic_servable
1246,I want solved answers not matching,conversational
1247,Bakugan: Rise of the Resistance,junk
1248,Science marthi midium question bank,general
1249,Judiciary Test - 1,general
1250,Reading Comprehension: The Lament,academic_servable
1251,what is Area under Simple Curves,academic_servable
1252,I'm trying to learn more about cbse,general
1253,"The first and last term of a Geometric Progression (GP) are 3 and 96, respectively. If the common ratio is 2, then find sum of n terms.",academic_servable
1254,Rohit's income is 50% more than Sheetal's income. Find by what percent Sheetal's income is less than Rohit's income? (Round off the answer to two decimal places).,academic_servable
1255,Question searcl \[ \int \frac{d \theta}{a + b \tan \theta} \],academic_servable
1256,(1) A particle is moning with - iom/s sus urefarding with acceleration of 2 m / s 2 funid velocity at t t = 3 s e c ,academic_servable
1257," Vectors are the organisms that do not cause disease but spread them by conveying pathogens from one host to another. Typhus is a disease caused by infection with one or more rickettsial bacteria. The vectors are fleas or lice that have acquired the bacteria from animals such as rats, cats and other animals. ",academic_non_servable
1258,Here it is,conversational
1259,NFL Quarterback Club 2002,junk
1260,Microcosm,academic_servable
1261," Bacteria, viruses, and fungi can cause pneumonia. Pneumonia is an infection in which inflammation of the air sacs of the lungs called alveoli starts. Therefore, the target for pneumonia is the lungs. ",academic_non_servable
1262,what is Introduction to Applied Microbiology and Industrial Microbiology,academic_servable
1263,Pirates of the Caribbean: At World's End,junk
1264,simplify 736.56:97/10 = 12/5:___,academic_servable
1265,Disney Art Academy,junk
1266,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,junk
1267,Water- A Valuable Natural Resource Test - 1,general
1268," Given decimal numbers are 0.017 and 0.032. We know that, To add decimal number we need to add whole number parts and decimal parts. Hence, we get 0.017 + 0.0320.049 Therefore, required value is 0.049. ",academic_non_servable
1269,"JEE 12 - Test 6 - Paper 2 - Advanced Pattern 2 Question Paper (i) Instructions Time Left 0:57:15 END TEST MATH SEC 1 MATH SEC 2 MATH SEC 3 CHEM SEC 1 CHEM SEC 2 CHEM SEC 3 PHY SEC 1 PHY SEC 2 PHYSEC3 Q2 Reload Image 04 Answered 02 Not Answered The figure shows a Young's double slit experimental setup. It is observed that when a thin transparent sheet of thickness t and refractive index 2 μ is put in front of one of the slits, the central maximum gets shifted by a distance equal to 6 fringe widths. If the wavelength of light used is Λ . Thickness is given 00 Not visited by t = 3 x λ ( 2 μ − 1 ) . Find x . 00 To be reviewed 00 Answe Review Q1 Q2 Q3 Q4 Q5 Q6",academic_servable
1270,Thnx,conversational
1271,"Diffusion, Osmosis and Their Significance",academic_servable
1272,Do you have any experience with dcece,general
1273,(d) Define apparent depth. If an object is covered by two medium having refractive index μ 1 and μ 2 and thickness d 1 and d 2 then determine the apparent depth of the object.,academic_servable
1274,Average of a cricket player is 21 innings was 23 he is code 41 in his 20 second innings how many runs should score in 23rd inning so that the average increase by one run,academic_servable
1275,p.k. university,general
1276,singstar: made in germany,junk
1277,Gujarat,general
1278," The connecting wires connect the battery and the bulb and allows the current to pass from one terminal to other terminal of the battery. But, in the given situation, the wire between the positive terminal of the battery and the bulb is not connected to the positive terminal of the battery. Due to this the charges cannot flow from positive terminal to the negative terminal of the battery. Hence, the bulb will not glow because the circuit is incomplete. ",academic_non_servable
1279," 8 l अবিহিত মুদ্রাব এট উদাহবণ দিয়া। Q। প্রতिनिषिত্रমুলক काগজী शूप्रा कि? ৬। বেং কি ? १। ভाবতীয় বिজार्ड বেঙ্ কোন চनত স্शাপিত হেছিল? ৮। চলिত आমানত कि ? চমু উखुयব প্রশ্ম: ১। সशগতিবিহীन অভারে বিनिময় প্রথাত কिमভে সমস্যাব সৃষ্টি कভে? २। মूল্যব তাগাব বুলিলে কি বूজা? ৩। মूদ्राद কোনটো বৈশিষ্ট্য সবাতোকে अবুত্পপর্ণ आद কিয় ? 8। মूদ्राব তাবল্য उণ कि ? १। आঞ্ণ লিক গ্রায্য বেংকে কि कार्य সম্পাদন কবে? ৮। অना - বেংক প্রতিষ্ঠানসमूइ বেংকতটৈ কি অর্থত বেলেগ? मीश, উखु्नय भ्रम : ग। বिनिময় প্রথাব চাবিটা अসুবিধা ব্যাখ্যা কबा। २। মूদ्राব যিকোনো চাবিটা প্রধান বৈশিষ্টা ব্যাখ্যা কবা। v। মूদ्राई সम्भाদन कবा চাবিটা প্রধান কার্य ব্যাখ্যা কবা। 8। চেক এখন মूদ्रा नে? তোমাব উট্ভবব সপক্ষে यুকি मর্শোবা। ৫। মूদ্রাই সৃষ্টি কবिব পবা চাবিটা প্রধান অসুবিধা ব্যাখ্য কবা। ৬। কেল্দীয় বেংকব চাবিটা প্রধান কার্য ব্যাথ্যা কবা। १। বাिিজ্যিক বেংকে সম্পাদন কবা দুটা প্রধান কার্য ব্যাখ্যা কবা। ৮। তলত উণ্भেখ কবা প্রতিষ্ঠানসমূহে কি কার্য সम্পাদন করে চ্মুকৈ ব্যাথ্যা ব (ক) আই ডি বি ऑই (च) आঞ্ণলিক গ্রাম্য বেংক (গ) কৃষि आदू গ্রাম্য উগয়नব बাষ্ট্রীয় বেংক (घ) ভাবতীয় কুদ্র উদ্যোগ উন্ময়ে বেংক। पूम्ना आदू बেश्ष ब्यबम्श",academic_non_servable
1280,Simplify 7 3 10 + 3 − 2 5 6 + 5 − 3 2 15 + 3 2 .,academic_servable
1281,DOS Commands,academic_servable
1282,Can you fill me in on the details of pgdca,general
1283,how sperms enter female,academic_servable
1284,Need more information on the topic of rd jammu kashmir board,general
1285,Domain of h x,junk
